UserID,Age,Gender,VRHeadset,Duration,MotionSickness,ImmersionLevel
1,43,Male,HTC Vive,41.353638715987,9,5
2,37,Male,Oculus Rift,58.4536573974322,10,5
3,96,Male,PlayStation VR,13.652079337705844,8,5
4,62,Female,PlayStation VR,53.53303863559212,10,5
5,66,Male,HTC Vive,41.52662708024344,10,5
6,78,Female,PlayStation VR,35.454591594790294,9,5
7,60,Female,HTC Vive,56.11853174239068,9,5
8,61,Female,HTC Vive,59.25708133514437,9,5
9,86,Female,HTC Vive,40.077880212898464,8,5
10,38,Female,PlayStation VR,29.228864759245667,8,5
11,42,Male,PlayStation VR,52.02566609910754,10,5
12,62,Male,Oculus Rift,40.16014516300175,9,5
13,94,Male,HTC Vive,59.101266400789605,8,5
14,69,Female,HTC Vive,40.42377661572601,10,5
15,96,Female,PlayStation VR,33.21562588709061,8,5
16,44,Female,HTC Vive,51.70547607723211,9,5
17,53,Male,Oculus Rift,14.54764173174442,9,5
18,51,Female,HTC Vive,20.405521025959153,8,5
19,89,Female,HTC Vive,13.408598887784496,9,5
20,52,Female,Oculus Rift,50.68371081932777,9,5
21,91,Male,HTC Vive,32.7063548308172,9,5
22,82,Male,HTC Vive,13.722441985603554,8,5
23,43,Male,HTC Vive,16.215002860506793,10,5
24,76,Male,HTC Vive,44.11698629597115,8,5
25,60,Male,PlayStation VR,58.788260580515704,8,5
26,59,Male,HTC Vive,34.38140323675604,8,5
27,52,Male,Oculus Rift,38.21312321258689,8,5
28,87,Male,HTC Vive,56.3630347575761,8,5
29,76,Female,PlayStation VR,21.356867904374887,8,5
30,73,Female,Oculus Rift,36.167819561394296,10,5
31,54,Female,PlayStation VR,22.87933762793302,8,5
32,79,Female,HTC Vive,55.32946100584731,8,5
33,52,Male,PlayStation VR,30.28659166475201,8,5
34,69,Male,HTC Vive,38.969831805054156,8,5
35,60,Male,PlayStation VR,34.66476386043251,8,5
36,67,Female,Oculus Rift,26.353258382471417,8,5
37,47,Female,PlayStation VR,23.72957969939887,10,5
38,98,Female,Oculus Rift,28.29757789374554,8,5
39,46,Male,Oculus Rift,46.45983379040501,9,5
40,74,Male,Oculus Rift,16.780365539772593,10,5
41,94,Female,HTC Vive,45.408509301832986,10,5
42,80,Female,PlayStation VR,47.04720201175514,10,5
43,50,Female,Oculus Rift,57.19288121154816,8,5
44,48,Female,Oculus Rift,34.62250948574351,9,5
45,76,Male,HTC Vive,59.38399653896842,9,5
46,60,Male,Oculus Rift,29.827494259436172,8,5
47,52,Male,PlayStation VR,35.46157933112881,9,5
48,91,Female,PlayStation VR,52.57060386345266,9,5
49,54,Male,Oculus Rift,35.902752677937464,8,5
50,94,Female,PlayStation VR,57.2313027822651,10,5
51,47,Male,HTC Vive,40.33645374226149,9,5
52,54,Female,HTC Vive,50.81209534494508,9,5
53,65,Male,HTC Vive,39.39806048527053,8,5
54,76,Female,PlayStation VR,51.4344793091349,9,5
55,51,Female,HTC Vive,43.48401950115952,8,5
56,58,Female,PlayStation VR,17.112958532458343,9,5
57,74,Female,HTC Vive,52.04147280365121,9,5
58,76,Male,PlayStation VR,44.54551398328461,10,5
59,39,Female,Oculus Rift,58.74525268151715,10,5
60,67,Male,PlayStation VR,48.415471619945166,10,5
61,57,Female,HTC Vive,36.929533436907626,9,5
62,97,Female,Oculus Rift,44.32812257211211,10,5
63,90,Female,Oculus Rift,46.14459208263465,9,5
64,65,Male,PlayStation VR,43.88952235795809,10,5
65,72,Female,HTC Vive,23.04650377477796,8,5
66,92,Male,PlayStation VR,49.011143190558414,9,5
67,60,Male,Oculus Rift,41.839808841801705,8,5
68,46,Female,HTC Vive,42.057167380608796,10,5
69,68,Female,PlayStation VR,40.15354360362928,8,5
70,77,Male,Oculus Rift,23.887332598401564,9,5
71,65,Male,PlayStation VR,36.811310857796165,8,5
72,62,Female,Oculus Rift,52.671125837385674,10,5
73,39,Female,HTC Vive,31.526718467615744,8,5
74,68,Female,PlayStation VR,44.2629942015962,9,5
75,97,Female,PlayStation VR,52.0035432135089,9,5
76,74,Female,Oculus Rift,22.793874124269344,10,5
77,39,Female,PlayStation VR,55.042277019326804,10,5
78,46,Male,Oculus Rift,57.60733023681126,10,5
79,92,Female,Oculus Rift,38.609640675474225,10,5
80,54,Male,Oculus Rift,59.726585105599874,10,5
81,59,Male,Oculus Rift,22.762765552008524,10,5
82,56,Male,HTC Vive,45.23189112382392,8,5
83,93,Male,Oculus Rift,50.262652114282425,8,5
84,53,Male,HTC Vive,18.495296710781584,10,5
85,76,Male,HTC Vive,37.31637979115147,8,5
86,55,Female,Oculus Rift,27.27319955928985,9,5
87,49,Female,HTC Vive,30.835125615609655,10,5
88,54,Male,PlayStation VR,17.964765309957404,9,5
89,71,Male,HTC Vive,48.007056489860325,10,5
90,99,Female,PlayStation VR,35.881195913166785,9,5
91,71,Male,PlayStation VR,59.93346902076233,8,5
92,85,Female,PlayStation VR,39.89363254065832,9,5
93,98,Female,Oculus Rift,34.05750300948885,8,5
94,55,Male,PlayStation VR,52.249199120585814,8,5
95,91,Female,PlayStation VR,15.623731063010203,10,5
